epoch,loss,val_loss,mape,val_mape
1,1256488817833227008,29813123011072492,36.71949,6.46738
2,28186551045088152,18564209659728624,7.65692,4.85623
3,26182177810568544,25027202143815204,7.38352,5.65572
4,25820672501070432,18449344538968328,7.29125,4.92163
5,25371785136590292,20192947827732644,7.21942,5.22413
6,24760895621725504,17771168721893588,7.20806,4.58260
7,24284559866546480,16646899150276788,7.09823,4.62108
8,24788909246622260,19665704136466236,7.20431,4.98487
9,25681792556684004,15820185617301504,7.38732,4.36221
10,22844371359611264,16709644653921566,6.82709,4.52201
11,22788266277550672,16530596864739770,6.79713,4.51518
12,22439967055732788,15733618421146846,6.80701,4.38593
13,22331710493776660,14843482016644596,6.82312,4.30949
14,21645762410071956,15335608285772382,6.73211,4.51237
15,22787042356995996,14866970522771522,6.78716,4.22437
16,21933827363071700,16145359000030938,6.75178,4.49051
17,21163276708627708,15743864271789884,6.62500,4.42154
18,22660633289144376,14992516522822336,6.83184,4.31309
19,21726457549544612,15826200186423608,6.64811,4.44444
20,21861384444460456,14775233972698874,6.75003,4.28525
21,20733597217318820,14470041430665462,6.47648,4.28213
22,20078330323139504,13568870825683058,6.43148,4.05425
23,19976633613702108,14013734991217820,6.29696,4.25615
24,18968047665387600,13532314503600930,6.17723,4.16617
25,19718156418691312,13352681825772766,6.41955,4.10266
26,19352581115448876,13445805985289470,6.09485,4.12826
27,18819406107576176,12571312891061338,6.11576,4.00220
28,19165831132932748,12992640807612710,6.26319,4.10548
29,18540606448588280,12891451661586792,6.14257,4.04007
30,17945721273523290,11812609246095212,6.06690,3.92013
31,17695158576149182,12035931482309526,5.90778,4.01052
32,17521124349762698,12029088216427528,5.86861,4.08948
33,17103152763435096,11187863251679444,5.77477,3.88562
34,17311368444323176,12580100488638234,5.80739,3.95090
35,17336412050281698,11849890129160176,5.80479,3.88632
36,16691583045583668,12072330737437638,5.72733,4.00826
37,16654089621993146,12227754866461638,5.75492,4.02050
38,17115626230513332,11814701324665094,5.87251,3.89671
39,16691740890152816,11780503635413172,5.68504,3.85456
40,15985549197618460,10723289876360332,5.59950,3.70442
41,15788328451489260,11609304435108348,5.48893,3.89960
42,15621303943572584,11505419269391254,5.50344,3.75448
43,15540566117776276,11864176143869412,5.51110,3.87261
44,15549237036915304,11239143228458402,5.60199,3.76323
45,15151399002462748,11644505969886494,5.36942,3.86411
46,14970728092695982,11047094762250174,5.43343,3.81299
47,15179604027829980,10959920970684432,5.36375,3.78241
48,15126787189232922,10792955895168892,5.39664,3.80320
49,14715495296088104,11214087196707390,5.24557,3.80058
50,15005154268330728,10873513152176194,5.32788,3.77031
51,14494248814403236,10904279351537172,5.28616,3.76618
52,14252433187520670,10915128344437588,5.27850,3.73699
53,14097853832901510,10744479252133970,5.27111,3.72653
54,13912932107424394,10948426779206878,5.24452,3.75552
55,13667769491419824,10683195884205768,5.17118,3.72778
