Best Epoch: 186, Val MSE: 46686660546.098694, Val RMSE: 216070.96182990138

SCENARIO,y,y_pred,Difference,Deviation
10,849828595.52,849817344.0,11251.519999980927,0.0013239752179786625
20,844886999.83,844917376.0,-30376.169999957085,-0.0035952938092394704
51,847857634.87,847764672.0,92962.87000000477,0.010964443342455546
53,848810389.91,848953088.0,-142698.09000003338,-0.01681153903113318
85,848047451.5,848019456.0,27995.5,0.0033011714085671067
91,852184682.64,852067456.0,117226.6399999857,0.013756013501301964
123,845807893.89,845441088.0,366805.8899999857,0.04336751792573007
142,844778615.18,844934976.0,-156360.82000005245,-0.018509088320936735
162,844992527.18,844956288.0,36239.17999994755,0.004288698282443851
176,849327708.7,849156416.0,171292.70000004768,0.02016803387496119
241,848276900.63,848142720.0,134180.62999999523,0.01581802238164704
248,849708337.88,849300864.0,407473.87999999523,0.04795455826838558
299,844057171.85,843996032.0,61139.85000002384,0.007243567383713812
301,846129221.91,846311680.0,-182458.09000003338,-0.021563856356144245
309,846281172.24,846188288.0,92884.24000000954,0.010975576799629917
320,842535836.03,842369664.0,166172.0299999714,0.019722844168025933
344,845499149.15,845513472.0,-14322.850000023842,-0.0016940111665899294
345,844676706.2,844639424.0,37282.200000047684,0.004413783371364821
346,848017149.54,848006016.0,11133.539999961853,0.001312890901557964
376,846318833.98,846322752.0,-3918.0199999809265,-0.0004629484589815375
390,847408350.02,847365184.0,43166.01999998093,0.005093886554098995
409,844528502.21,844604672.0,-76169.78999996185,-0.009019208919608673
417,847532444.83,847298816.0,233628.83000004292,0.027565768298923907
508,849426697.99,849563264.0,-136566.00999999046,-0.016077433205613487
543,845704742.69,845735296.0,-30553.30999994278,-0.0036127632325626373
562,854182515.81,853430400.0,752115.8099999428,0.08805094884045128
564,844594709.08,844555840.0,38869.080000042915,0.004602098448187323
571,844564077.73,844548224.0,15853.730000019073,0.001877149457105773
572,846526179.82,846453440.0,72739.82000005245,0.008592743111089533
592,844961708.97,844837504.0,124204.97000002861,0.014699479122128888
604,843874952.0,843963904.0,-88952.0,-0.010540898244364527
622,845091618.67,844893120.0,198498.66999995708,0.02348842014459368
645,848653066.25,848853888.0,-200821.75,-0.02366358621519916
688,847470385.3,847526400.0,-56014.700000047684,-0.006609635094236217
704,842356270.4,842499264.0,-142993.60000002384,-0.01697543011487552
714,849811934.99,849862528.0,-50593.00999999046,-0.005953436038832027
778,848288806.07,848548032.0,-259225.92999994755,-0.03055868804881488
823,848229414.72,848395904.0,-166489.2799999714,-0.019627859764204166
831,845622019.54,845718080.0,-96060.46000003815,-0.01135973966859247
837,850673766.25,850636160.0,37606.25,0.004420760518545026
842,850632965.83,850460672.0,172293.83000004292,0.02025477931388754
844,849446145.39,849584832.0,-138686.6100000143,-0.01632671014550783
884,847313014.25,847346304.0,-33289.75,-0.003928860933343088
896,844051429.94,843903552.0,147877.94000005722,0.017520015339654034
974,844860080.96,844878784.0,-18703.039999961853,-0.0022137440768547033
1021,845087244.24,845029568.0,57676.24000000954,0.006824885879312812
1023,848343872.85,848297408.0,46464.85000002384,0.005477124487729934
1046,850642563.78,850630336.0,12227.77999997139,0.0014374756825751593
1063,845858865.83,845840896.0,17969.830000042915,0.0021244477921751165
1075,845972954.64,845945024.0,27930.639999985695,0.003301599637055945
1076,845481187.03,845512832.0,-31644.97000002861,-0.00374283549834986
1081,845974910.03,845953536.0,21374.02999997139,0.0025265560179808908
1091,849821923.81,849863936.0,-42012.19000005722,-0.004943646289060689
1175,843955402.37,844275840.0,-320437.62999999523,-0.03796855012719163
1193,841989980.87,841948480.0,41500.87000000477,0.004928903068077284
1204,849156685.66,849128320.0,28365.65999996662,0.0033404506469756697
1244,845295643.5,845369536.0,-73892.5,-0.008741616092334682
1246,848352301.78,848430144.0,-77842.22000002861,-0.00917569503102676
1265,845954480.8,846005888.0,-51407.200000047684,-0.006076828146998295
1282,842679970.18,842712576.0,-32605.820000052452,-0.0038693004644560036
1294,847142591.66,847206848.0,-64256.34000003338,-0.007585067807076168
1302,849983739.15,850073472.0,-89732.85000002384,-0.010557007842262772
1308,848932845.02,848901056.0,31789.019999980927,0.003744585945338469
1310,847488713.85,847587008.0,-98294.14999997616,-0.011598284247756198
1335,841275911.19,841121408.0,154503.19000005722,0.01836534101891847
1345,850797368.03,850509056.0,288312.0299999714,0.03388727337833104
1420,843770404.55,843823872.0,-53467.450000047684,-0.0063367297207541865
1429,845879465.97,845893760.0,-14294.02999997139,-0.0016898424155006432
1444,845327538.27,845200448.0,127090.26999998093,0.015034441000239594
1460,845677978.96,845766016.0,-88037.03999996185,-0.010410232049346758
1484,853112329.06,853211648.0,-99318.94000005722,-0.011641953423588614
1533,849640667.36,849661248.0,-20580.639999985695,-0.002422275767935376
1536,850074504.99,848952384.0,1122120.9900000095,0.13200266369748495
1552,846106880.67,846141312.0,-34431.330000042915,-0.004069383051557038
1576,847837062.75,847759488.0,77574.75,0.009149723857126816
1592,846304318.35,846261120.0,43198.35000002384,0.005104351834603142
1604,847240156.44,847236096.0,4060.4400000572205,0.00047925490419607763
1617,849605264.94,849532160.0,73104.94000005722,0.0086045770920711
1652,844257015.44,844166144.0,90871.44000005722,0.010763480591594243
1655,847942400.67,847840192.0,102208.66999995708,0.012053727932368651
1694,844991789.69,845136896.0,-145106.30999994278,-0.017172511232704114
1718,850237785.35,850375296.0,-137510.64999997616,-0.016173199117864415
1731,845811623.43,845860160.0,-48536.57000005245,-0.00573846098298144
1743,845037107.47,845127040.0,-89932.52999997139,-0.010642435604896099
1749,844843372.2,845012160.0,-168787.79999995232,-0.019978590772443808
1815,846377125.42,846178752.0,198373.41999995708,0.023437946754706743
1820,843886730.9,843775808.0,110922.89999997616,0.013144287727059955
1822,843824019.11,843969792.0,-145772.8899999857,-0.01727527146640547
1831,851479622.03,851613376.0,-133753.9700000286,-0.01570841703541275
1883,845246328.07,845291008.0,-44679.92999994755,-0.005286024738133772
1893,843906844.35,843697536.0,209308.35000002384,0.02480230506499077
1916,844954841.05,844845632.0,109209.04999995232,0.012924838665252396
1918,853672537.33,853331200.0,341337.3300000429,0.039984574303822754
1920,847849036.5,847847552.0,1484.5,0.00017509013233395353
1935,848595263.91,848466368.0,128895.90999996662,0.015189327053990844
1939,843851849.24,843894208.0,-42358.75999999046,-0.005019691553456939
1940,844808674.73,845097728.0,-289053.2699999809,-0.034215234602362726
1949,846879263.77,846874944.0,4319.7699999809265,0.0005100809743234087
1985,851491570.93,851433600.0,57970.92999994755,0.00680816252081411
1990,851582303.26,851976064.0,-393760.74000000954,-0.04623871803026288
1994,846539733.8,846564608.0,-24874.200000047684,-0.002938338155539473
2013,846257410.47,846246016.0,11394.47000002861,0.001346454383625459
2032,850445657.26,850261568.0,184089.25999999046,0.021646210834105103
2061,845496638.04,845485248.0,11390.039999961853,0.0013471419621922844
2063,844867553.32,844790080.0,77473.32000005245,0.009169877538273604
2072,846675945.7,846730240.0,-54294.299999952316,-0.006412642319141808
2153,843624427.56,843689856.0,-65428.44000005722,-0.007755636022690185
2165,842864537.79,842830784.0,33753.78999996185,0.004004651813738025
2169,846501439.16,846700288.0,-198848.84000003338,-0.023490667682426504
2178,847033227.4,846864768.0,168459.39999997616,0.019888169029338855
2193,852631541.98,852420480.0,211061.98000001907,0.024754183912770365
2202,845098981.5,844991104.0,107877.5,0.012765072773904413
2203,848302812.27,848397696.0,-94883.73000001907,-0.011185125008146175
2210,848623502.93,848697536.0,-74033.07000005245,-0.008723900498211772
2213,845808690.82,845838272.0,-29581.179999947548,-0.003497384257339446
2227,845550851.41,845583168.0,-32316.59000003338,-0.0038219570054413387
2236,845489632.14,845494976.0,-5343.860000014305,-0.0006320432323325574
2256,842635800.66,842616448.0,19352.65999996662,0.0022966814351833287
2272,848687556.83,848876160.0,-188603.16999995708,-0.022222921554832697
2280,848153038.54,848480576.0,-327537.46000003815,-0.03861773113067626
2303,845456345.34,845155456.0,300889.3400000334,0.03558898595515666
2307,847578715.68,847657728.0,-79012.32000005245,-0.009322121773275304
2329,844214849.96,844305664.0,-90814.03999996185,-0.010757218971481576
2352,844844479.67,844865856.0,-21376.330000042915,-0.0025302088744655828
2363,847126190.36,847105088.0,21102.360000014305,0.0024910527191995464
2369,850286077.44,850253824.0,32253.44000005722,0.003793245691751688
2414,849054542.81,849182528.0,-127985.19000005722,-0.015073847856285193
2435,848111578.88,848169152.0,-57573.12000000477,-0.0067883898102222276
2449,842683477.38,842635520.0,47957.37999999523,0.0056910312456938455
2455,844989801.42,844876800.0,113001.41999995708,0.013373110516843981
2457,845662197.27,845885568.0,-223370.73000001907,-0.026413706409144606
2468,847765572.37,847757760.0,7812.370000004768,0.0009215248005606822
2478,847461577.48,847386944.0,74633.48000001907,0.00880670958817368
2494,849848678.76,849739392.0,109286.75999999046,0.012859555204515814
2502,847660198.16,847630464.0,29734.15999996662,0.0035077923989483054
2514,850941922.96,850813504.0,128418.96000003815,0.015091389498513954
2528,843015432.82,842996160.0,19272.820000052452,0.0022861764150132195
2611,849160592.59,849062464.0,98128.59000003338,0.011555951943169456
2616,851152467.74,851114688.0,37779.74000000954,0.004438657165657193
2621,843074726.51,843141504.0,-66777.49000000954,-0.007920708319230758
2633,849643267.82,849570176.0,73091.82000005245,0.00860264804870286
2649,850229785.63,850056704.0,173081.62999999523,0.020357041464002096
2669,846179757.24,846035712.0,144045.24000000954,0.017023007081833835
2698,846557924.83,846652032.0,-94107.16999995708,-0.011116447822380854
2733,843307605.08,843277952.0,29653.080000042915,0.003516282768163805
2779,847174498.66,847193856.0,-19357.34000003338,-0.002284929495712092
2784,843900934.86,843839808.0,61126.860000014305,0.007243369153294637
2789,845604259.29,845751040.0,-146780.71000003815,-0.01735808546225637
