Best Epoch: 17, Val MSE: 1.0336745704403858e+16, Val RMSE: 101669787.56938493

SCENARIO,y,y_pred,Difference,Deviation
57,2345117850.4,2211146240.0,133971610.4000001,5.71278796829545
88,2027286692.6,1930864128.0,96422564.5999999,4.756237238273277
105,2039829513.74,2117976320.0,-78146806.25999999,-3.8310459640677945
121,2173153966.34,2155519232.0,17634734.340000153,0.8114811289556423
128,2230948150.66,2240202752.0,-9254601.340000153,-0.41482816789185745
157,2256071237.17,2260107008.0,-4035770.8299999237,-0.17888490236958857
164,1873947588.05,1811299200.0,62648388.04999995,3.3431238125069904
188,2091842323.25,2117562368.0,-25720044.75,-1.2295403178400148
201,2019925874.06,2075128448.0,-55202573.94000006,-2.7329009766603107
212,2224296224.9,2176423936.0,47872288.900000095,2.1522443082936196
214,2267538363.19,2269830912.0,-2292548.809999943,-0.101102977890736
253,2229545518.66,2246437888.0,-16892369.340000153,-0.7576597651234677
281,2174470218.12,2195222528.0,-20752309.880000114,-0.9543616512688831
282,2226196925.95,2206419968.0,19776957.94999981,0.8883741469349239
298,2138696157.54,2144388992.0,-5692834.460000038,-0.26618247944804496
311,2326452296.19,2282073088.0,44379208.19000006,1.9075915832307972
313,1888354195.7,2056534912.0,-168180716.29999995,-8.906206085858617
321,2201277812.68,2213921280.0,-12643467.320000172,-0.5743694524684766
354,2104684316.94,2141494656.0,-36810339.05999994,-1.7489719842412512
362,2172184092.69,2129858816.0,42325276.69000006,1.9485124134936957
373,2201945157.02,2233031168.0,-31086010.98000002,-1.4117522809728031
374,2277748962.07,2229673216.0,48075746.07000017,2.11066921204123
386,2218556526.18,2198893824.0,19662702.17999983,0.8862835788933385
393,1920524038.49,1984745856.0,-64221817.50999999,-3.343973635471597
407,2222401126.91,2278632192.0,-56231065.09000015,-2.530194230426042
448,2251386664.56,2277278464.0,-25891799.440000057,-1.1500378787692707
452,1832708130.65,1842042112.0,-9333981.349999905,-0.5092999367383968
523,2261052397.23,2268506624.0,-7454226.769999981,-0.32967952353214386
530,2073077913.14,2096976512.0,-23898598.859999895,-1.1528075577150758
538,2287271600.19,2267235328.0,20036272.190000057,0.8759900743023118
540,2123581265.57,2170308608.0,-46727342.43000007,-2.2004028377721525
573,2200838623.95,2004173056.0,196665567.9499998,8.935937683474052
646,2150960456.79,2181066752.0,-30106295.21000004,-1.3996675352614043
721,2138814427.78,2122499584.0,16314843.779999971,0.7627984722795281
731,2065913385.31,2091213824.0,-25300438.690000057,-1.22466115326532
747,1996106304.51,1959816192.0,36290112.50999999,1.8180450824691128
751,1999110170.08,2133709952.0,-134599781.92000008,-6.7329847016192055
754,1632455871.17,1854651392.0,-222195520.82999992,-13.611119587002975
796,1705893712.4,1982225536.0,-276331823.5999999,-16.198654206376798
797,2156722369.63,2160222720.0,-3500350.3699998856,-0.16229953466845126
810,2014385613.82,2016305024.0,-1919410.1800000668,-0.09528514137668877
817,2214789373.92,2200440576.0,14348797.920000076,0.6478628662825779
834,2015288060.6,2028583424.0,-13295363.400000095,-0.6597252105012593
850,2242473263.18,2273761280.0,-31288016.82000017,-1.3952459248335185
852,2158147544.92,2141329408.0,16818136.920000076,0.7792857795838748
860,2017877772.71,2206389504.0,-188511731.28999996,-9.342078783930983
874,2153562182.13,2213317888.0,-59755705.869999886,-2.7747378908231926
889,1998114065.06,1978170496.0,19943569.059999943,0.9981196473586242
903,2136311290.79,2085711104.0,50600186.78999996,2.3685774169778506
908,2076017783.88,2106361728.0,-30343944.119999886,-1.4616418200083132
951,2274669842.98,2271584256.0,3085586.980000019,0.13564988297192407
976,1457494861.53,1931417856.0,-473922994.47,-32.51627206235918
1001,2104356970.53,2115742336.0,-11385365.470000029,-0.5410377435693589
1006,2062672507.97,2065568896.0,-2896388.0299999714,-0.14041919009481932
1007,1693118613.8,1819010176.0,-125891562.20000005,-7.435483915533339
1018,2123762293.12,2091056512.0,32705781.119999886,1.5399925512356716
1041,2330521902.86,2139586048.0,190935854.86000013,8.192836747240394
1044,2304006394.18,2331565312.0,-27558917.82000017,-1.1961302663749092
1063,2071428619.41,2131483520.0,-60054900.589999914,-2.8992020302927552
1066,1827696522.51,1880481408.0,-52784885.49000001,-2.8880552564333724
1081,2193803032.69,2232410112.0,-38607079.30999994,-1.7598243203566306
1228,1751784764.83,1916946048.0,-165161283.17000008,-9.428172141115063
1243,2221610690.18,2190451712.0,31158978.17999983,1.4025399822628355
1257,2311492923.77,2280915456.0,30577467.76999998,1.3228449655008558
1268,2057404333.81,2057324928.0,79405.80999994278,0.003859514082625426
1279,2282803772.78,2279742976.0,3060796.78000021,0.13408059056573088
1301,1769926884.41,1920722304.0,-150795419.5899999,-8.519867171816374
1303,2098898893.56,2100067072.0,-1168178.4400000572,-0.05565672761009835
1347,2104494949.22,1890666880.0,213828069.22000003,10.160540860373757
1374,2178039427.15,2208979456.0,-30940028.849999905,-1.4205449389171725
1387,2215066404.04,2272734464.0,-57668059.96000004,-2.6034461023299715
1399,2233655053.56,2270910464.0,-37255410.44000006,-1.6679124370892622
1412,2134644404.16,2118126848.0,16517556.160000086,0.773784904305871
1430,2245492675.83,2216133376.0,29359299.829999924,1.3074769802643809
1527,2026635709.09,2040959360.0,-14323650.910000086,-0.7067698869488337
