Best Epoch: 339, Val MSE: 12915911857.985432, Val RMSE: 113648.19337756949

SCENARIO,y,y_pred,Difference,Deviation
10,849828595.52,849827008.0,1587.5199999809265,0.0001868047284299185
20,844886999.83,844889408.0,-2408.1699999570847,-0.000285028648853827
51,847857634.87,847918976.0,-61341.12999999523,-0.007234838430086263
53,848810389.91,848867072.0,-56682.09000003338,-0.006677827071136986
85,848047451.5,848022272.0,25179.5,0.0029691145177623353
91,852184682.64,852310592.0,-125909.3600000143,-0.014774891237185487
123,845807893.89,845948416.0,-140522.1100000143,-0.01661395111290953
142,844778615.18,844834176.0,-55560.82000005245,-0.006576968095743512
162,844992527.18,844960064.0,32463.179999947548,0.0038418304252094593
176,849327708.7,849197248.0,130460.70000004768,0.015360466715460602
241,848276900.63,848292608.0,-15707.370000004768,-0.0018516795622206838
248,849708337.88,849568704.0,139633.87999999523,0.016433154033580286
299,844057171.85,844011392.0,45779.85000002384,0.005423785440941614
301,846129221.91,846088512.0,40709.90999996662,0.004811311197605323
309,846281172.24,846286656.0,-5483.759999990463,-0.0006479832211646207
320,842535836.03,842595904.0,-60067.97000002861,-0.007129426124242599
344,845499149.15,845523712.0,-24562.850000023842,-0.0029051300672173885
345,844676706.2,844696000.0,-19293.799999952316,-0.0022841638532629296
346,848017149.54,847995840.0,21309.539999961853,0.0025128666338317617
376,846318833.98,846400832.0,-81998.01999998093,-0.009688785917048217
390,847408350.02,847379776.0,28574.019999980927,0.003371930427556743
409,844528502.21,844473216.0,55286.21000003815,0.0065463995419174975
417,847532444.83,847227136.0,305308.8300000429,0.036023261629976
508,849426697.99,849383680.0,43017.99000000954,0.005064355770992728
543,845704742.69,845733312.0,-28569.30999994278,-0.0033781659907771255
562,854182515.81,854082304.0,100211.80999994278,0.011731896655004044
564,844594709.08,844600960.0,-6250.919999957085,-0.0007401088276726343
571,844564077.73,844471296.0,92781.73000001907,0.010985753768902377
572,846526179.82,846377664.0,148515.82000005245,0.01754414967197257
592,844961708.97,844942592.0,19116.97000002861,0.002262465836864017
604,843874952.0,843900672.0,-25720.0,-0.003047844937101534
622,845091618.67,844992640.0,98978.66999995708,0.011712182183954103
645,848653066.25,848808768.0,-155701.75,-0.018346925992739262
688,847470385.3,847547200.0,-76814.70000004768,-0.009063998144649702
704,842356270.4,842004672.0,351598.39999997616,0.04173986855146418
714,849811934.99,850035456.0,-223521.00999999046,-0.0263024088974016
778,848288806.07,848550336.0,-261529.92999994755,-0.030830293660431295
823,848229414.72,848267712.0,-38297.27999997139,-0.004514967217048621
831,845622019.54,845762496.0,-140476.46000003815,-0.016612204596618038
837,850673766.25,850714688.0,-40921.75,-0.004810510400525708
842,850632965.83,850611008.0,21957.830000042915,0.002581351873497836
844,849446145.39,849416192.0,29953.389999985695,0.003526225901729581
884,847313014.25,847346624.0,-33609.75,-0.003966627377929478
896,844051429.94,844118080.0,-66650.05999994278,-0.00789644536289461
974,844860080.96,844849728.0,10352.960000038147,0.0012254052751876092
1021,845087244.24,845150976.0,-63731.75999999046,-0.007541441482447817
1023,848343872.85,848444928.0,-101055.14999997616,-0.011912050435454048
1046,850642563.78,850542848.0,99715.77999997139,0.011722406595417048
1063,845858865.83,845926976.0,-68110.16999995708,-0.008052190826554013
1075,845972954.64,845916224.0,56730.639999985695,0.006705963788656478
1076,845481187.03,845519040.0,-37852.97000002861,-0.004477091930690763
1081,845974910.03,846029632.0,-54721.97000002861,-0.006468509804633338
1091,849821923.81,849871552.0,-49628.19000005722,-0.005839834041649519
1175,843955402.37,843926848.0,28554.37000000477,0.0033833979757482723
1193,841989980.87,842011456.0,-21475.12999999523,-0.0025505208479803644
1204,849156685.66,849406592.0,-249906.34000003338,-0.02942994434599496
1244,845295643.5,845326464.0,-30820.5,-0.003646120766976365
1246,848352301.78,848407872.0,-55570.22000002861,-0.006550370628267527
1265,845954480.8,846085312.0,-130831.20000004768,-0.015465512976102873
1282,842679970.18,842465792.0,214178.17999994755,0.025416313141298257
1294,847142591.66,847108480.0,34111.65999996662,0.004026672762742794
1302,849983739.15,849965696.0,18043.149999976158,0.0021227641387610136
1308,848932845.02,848928000.0,4845.0199999809265,0.0005707188770469569
1310,847488713.85,847400768.0,87945.85000002384,0.010377229638905808
1335,841275911.19,841194176.0,81735.19000005722,0.009715622296190713
1345,850797368.03,851095296.0,-297927.9700000286,-0.03501750019395022
1420,843770404.55,843759232.0,11172.549999952316,0.0013241220525992336
1429,845879465.97,845867072.0,12393.97000002861,0.0014652170313433491
1444,845327538.27,845310528.0,17010.269999980927,0.0020122697096551703
1460,845677978.96,845738816.0,-60837.03999996185,-0.007193877754127899
1484,853112329.06,853090944.0,21385.05999994278,0.002506710930260012
1533,849640667.36,849649280.0,-8612.639999985695,-0.0010136802922518827
1536,850074504.99,850064512.0,9992.990000009537,0.001175542842580262
1552,846106880.67,846118912.0,-12031.330000042915,-0.001421963380148352
1576,847837062.75,847779584.0,57478.75,0.006779457106246916
1592,846304318.35,846360832.0,-56513.64999997616,-0.006677698408789664
1604,847240156.44,847247424.0,-7267.5599999427795,-0.0008577922026831425
1617,849605264.94,849579136.0,26128.94000005722,0.003075421148891123
1652,844257015.44,844223744.0,33271.44000005722,0.003940913654441734
1655,847942400.67,848003392.0,-60991.330000042915,-0.007192862386861506
1694,844991789.69,845007040.0,-15250.30999994278,-0.0018047879501335298
1718,850237785.35,850243584.0,-5798.649999976158,-0.0006820033289380507
1731,845811623.43,845799040.0,12583.429999947548,0.0014877343431292963
1743,845037107.47,845087808.0,-50700.52999997139,-0.0059997992457119795
1749,844843372.2,844770688.0,72684.20000004768,0.008603275162208544
1815,846377125.42,846238400.0,138725.41999995708,0.016390497313017175
1820,843886730.9,843778112.0,108618.89999997616,0.012871265304069276
1822,843824019.11,843795520.0,28499.110000014305,0.003377376011419176
1831,851479622.03,851499200.0,-19577.97000002861,-0.0022992881442486035
1883,845246328.07,845364288.0,-117959.92999994755,-0.013955686772315509
1893,843906844.35,843786944.0,119900.35000002384,0.014207770775028416
1916,844954841.05,844981248.0,-26406.950000047684,-0.00312524986154675
1918,853672537.33,853524096.0,148441.33000004292,0.01738855632679919
1920,847849036.5,847908032.0,-58995.5,-0.00695825523887353
1935,848595263.91,848468992.0,126271.90999996662,0.01488011015029171
1939,843851849.24,843816320.0,35529.24000000954,0.004210364654886792
1940,844808674.73,845051584.0,-242909.26999998093,-0.028753169476818462
1949,846879263.77,846852288.0,26975.769999980927,0.003185314737769651
1985,851491570.93,851483456.0,8114.929999947548,0.0009530252884458285
1990,851582303.26,851583680.0,-1376.7400000095367,-0.0001616684605515104
1994,846539733.8,846653312.0,-113578.20000004768,-0.013416759481591116
2013,846257410.47,846218816.0,38594.47000002861,0.004560606444627026
2032,850445657.26,850468864.0,-23206.740000009537,-0.0027287740024186783
2061,845496638.04,845465664.0,30974.039999961853,0.0036634137389079113
2063,844867553.32,844771904.0,95649.32000005245,0.011321220660467776
2072,846675945.7,846655168.0,20777.700000047684,0.002454032160187267
2153,843624427.56,843676864.0,-52436.44000005722,-0.006215614233897685
2165,842864537.79,842998528.0,-133990.21000003815,-0.015897004084590147
2169,846501439.16,846692288.0,-190848.84000003338,-0.022545601362404823
2178,847033227.4,847049920.0,-16692.600000023842,-0.0019707137170123065
2193,852631541.98,852239936.0,391605.9800000191,0.045929098411093605
2202,845098981.5,845080896.0,18085.5,0.0021400451776547313
2203,848302812.27,848258944.0,43868.26999998093,0.005171298428516635
2210,848623502.93,848715648.0,-92145.07000005245,-0.010858180298083634
2213,845808690.82,845846784.0,-38093.17999994755,-0.004503758404636009
2227,845550851.41,845529344.0,21507.40999996662,0.0025435974624236847
2236,845489632.14,845521664.0,-32031.860000014305,-0.003788557397083531
2256,842635800.66,842550848.0,84952.65999996662,0.01008177672173754
2272,848687556.83,848842176.0,-154619.16999995708,-0.018218621064445363
2280,848153038.54,848078464.0,74574.53999996185,0.008792580656002073
2303,845456345.34,845442432.0,13913.340000033379,0.001645660367530642
2307,847578715.68,847574848.0,3867.679999947548,0.00045632103878924865
2329,844214849.96,844238720.0,-23870.039999961853,-0.002827484022709722
2352,844844479.67,844918976.0,-74496.33000004292,-0.008817756615885271
2363,847126190.36,847101248.0,24942.360000014305,0.002944350001670311
2369,850286077.44,850366336.0,-80258.55999994278,-0.00943900672131212
2414,849054542.81,849053504.0,1038.8099999427795,0.0001223490303113828
2435,848111578.88,848121152.0,-9573.120000004768,-0.0011287571397913052
2449,842683477.38,842675840.0,7637.379999995232,0.0009063165714059952
2455,844989801.42,844967040.0,22761.419999957085,0.0026936916826341174
2457,845662197.27,845654272.0,7925.2699999809265,0.000937167349512086
2468,847765572.37,847814144.0,-48571.62999999523,-0.0057293704277479865
2478,847461577.48,847410112.0,51465.48000001907,0.006072898331633643
2494,849848678.76,849779072.0,69606.75999999046,0.008190488699888612
2502,847660198.16,847775360.0,-115161.84000003338,-0.013585849642346428
2514,850941922.96,850846848.0,95074.96000003815,0.0111729082132092
2528,843015432.82,842973120.0,42312.82000005245,0.005019222466486809
2611,849160592.59,849167936.0,-7343.409999966621,-0.0008647845959936388
2616,851152467.74,851130176.0,22291.740000009537,0.0026190066815172477
2621,843074726.51,843228032.0,-153305.49000000954,-0.01818409272386024
2633,849643267.82,849944448.0,-301180.17999994755,-0.0354478392764425
2649,850229785.63,850084736.0,145049.62999999523,0.01706005040655179
2669,846179757.24,846061632.0,118125.24000000954,0.013959828155816536
2698,846557924.83,846521728.0,36196.830000042915,0.004275765300680602
2733,843307605.08,843360256.0,-52650.919999957085,-0.006243382566787403
2779,847174498.66,847121792.0,52706.65999996662,0.006221464418881145
2784,843900934.86,843961728.0,-60793.139999985695,-0.007203824227315384
2789,845604259.29,845619264.0,-15004.710000038147,-0.0017744364264007666
2802,847563378.03,847525248.0,38130.02999997139,0.004498782154627469
2805,847179000.53,847168512.0,10488.52999997139,0.0012380535864805083
2820,850208879.41,850032768.0,176111.40999996662,0.02071389916818778
2845,845567209.91,845518528.0,48681.90999996662,0.005757308163019732
2850,849151626.28,849241280.0,-89653.72000002861,-0.010558034304519617
2985,847198610.83,847247808.0,-49197.169999957085,-0.00580704091945555
2993,845172390.15,845218816.0,-46425.85000002384,-0.005493062781166367
3005,845504334.24,845470272.0,34062.24000000954,0.004028629850919348
3016,846981813.41,847010432.0,-28618.59000003338,-0.0033788907325900193
3031,846954981.05,846844608.0,110373.04999995232,0.01303174932192015
3066,845197856.0,845199488.0,-1632.0,-0.00019309088261577418
3072,850464697.86,850638144.0,-173446.1399999857,-0.020394278614553108
3095,846084364.77,846143104.0,-58739.23000001907,-0.0069424790772474295
3107,846865338.67,846909568.0,-44229.330000042915,-0.005222711094718432
3111,843337954.63,843339456.0,-1501.3700000047684,-0.00017802708768911848
3115,848832435.31,848801664.0,30771.30999994278,0.003625133621184594
3125,845264483.67,845259072.0,5411.669999957085,0.0006402339273100059
3128,843546592.25,843457792.0,88800.25,0.010527011882431086
3155,842381179.37,842701824.0,-320644.62999999523,-0.038064078098207145
3160,847319873.7,847332992.0,-13118.299999952316,-0.001548211060206638
3168,852182330.14,852369600.0,-187269.8600000143,-0.021975327741100763
3219,847976840.03,847972352.0,4488.02999997139,0.0005292632756117031
3220,847024850.47,847002048.0,22802.47000002861,0.0026920662348189545
3263,848111890.7,847746688.0,365202.7000000477,0.04306067442335031
3274,852366799.45,852349568.0,17231.450000047684,0.0020216003264283034
3277,844547934.66,844518976.0,28958.65999996662,0.003428894774531047
3321,848261548.35,848322432.0,-60883.64999997616,-0.007177461965404925
3344,847644412.1,847714688.0,-70275.89999997616,-0.008290728871304755
3376,844335270.38,844368768.0,-33497.62000000477,-0.003967336338434481
3380,848551433.42,848625216.0,-73782.58000004292,-0.00869512172086844
3401,845102114.84,845267072.0,-164957.15999996662,-0.019519198580067135
3405,845151829.22,845284992.0,-133162.7799999714,-0.015756077830757203
3406,847885618.55,847708416.0,177202.54999995232,0.020899346105550515
3409,844256321.66,844210304.0,46017.65999996662,0.005450674021544243
3428,846014938.54,845912320.0,102618.53999996185,0.012129636880532459
3470,851161613.59,851154112.0,7501.590000033379,0.0008813355631010463
3474,847296070.06,847332992.0,-36921.94000005722,-0.00435761964497754
3516,844891654.61,844925760.0,-34105.389999985695,-0.004036658406305204
3522,843486374.19,843456256.0,30118.19000005722,0.003570678901479555
3533,848756791.1,848756736.0,55.10000002384186,6.491847912336764e-06
3559,847723856.88,847639680.0,84176.87999999523,0.009929752397178429
3581,845897807.34,845922176.0,-24368.65999996662,-0.002880804251827536
3609,844789319.99,844814592.0,-25272.009999990463,-0.002991516275358407
3668,846032017.67,846101632.0,-69614.33000004292,-0.00822833279900719
3671,848059598.38,848184896.0,-125297.62000000477,-0.014774624358872146
3732,843299990.48,843331712.0,-31721.519999980927,-0.003761593781345269
3734,854071028.26,854222848.0,-151819.74000000954,-0.01777600866631808
3757,846245314.36,846368064.0,-122749.6399999857,-0.014505207640980443
3761,844553259.45,844587008.0,-33748.549999952316,-0.003996023888645039
3777,844797291.79,844717504.0,79787.78999996185,0.009444607691734355
3794,847555858.88,847518912.0,36946.87999999523,0.004359226546887254
3837,848221924.65,848215104.0,6820.649999976158,0.0008041114950890415
3844,841132566.33,841302080.0,-169513.66999995708,-0.020153026619760206
3883,844250914.17,844288704.0,-37789.830000042915,-0.004476137291150564
3884,848175669.29,848191680.0,-16010.710000038147,-0.0018876643812997566
3891,842120546.77,842135104.0,-14557.230000019073,-0.0017286396889203256
3898,847600322.5,847518208.0,82114.5,0.009687879749479449
3974,846866171.74,846987712.0,-121540.25999999046,-0.014351767027164364
3981,846711707.69,846451456.0,260251.69000005722,0.03073675344705888
3994,849566346.91,849536128.0,30218.90999996662,0.0035569805830795113
4003,847839965.49,847890752.0,-50786.50999999046,-0.005990105688240226
4040,846795210.3,846829120.0,-33909.700000047684,-0.0040044747050510905
4125,846616925.75,846633280.0,-16354.25,-0.0019317178174192674
4126,851744057.02,851647552.0,96505.01999998093,0.011330283927970497
4129,851627468.45,851639104.0,-11635.549999952316,-0.0013662722764367307
4138,849329632.63,849243776.0,85856.62999999523,0.010108752444458465
4151,846017505.37,846109184.0,-91678.62999999523,-0.010836493266164772
4153,846854997.22,846877120.0,-22122.77999997139,-0.002612345687584604
4165,846196699.76,846127232.0,69467.75999999046,0.008209410414823533
4169,851192452.93,851719616.0,-527163.0700000525,-0.06193230076059017
4189,845180240.89,845142464.0,37776.889999985695,0.004469684473480533
4232,845972908.72,845967744.0,5164.72000002861,0.0006105065477620429
4235,844870955.21,844781184.0,89771.21000003815,0.01062543450528782
4276,844538753.07,844658048.0,-119294.92999994755,-0.014125453635643848
4301,847225589.55,847417600.0,-192010.45000004768,-0.022663438447607934
4309,852300464.07,852296576.0,3888.070000052452,0.00045618536701079655
4355,847657607.01,847589376.0,68231.00999999046,0.008049359722101277
4369,845506248.28,845559232.0,-52983.72000002861,-0.006266508391607106
4401,848741550.52,848850752.0,-109201.48000001907,-0.012866281841994705
4443,848955411.77,848986880.0,-31468.230000019073,-0.003706699970780619
4456,847353047.96,847380800.0,-27752.039999961853,-0.0032751448840332618
4466,842566205.41,842417088.0,149117.40999996662,0.017698005099481152
4507,848276090.5,848221120.0,54970.5,0.006480260450061571
4511,851078226.62,850985728.0,92498.62000000477,0.010868403997051695
4537,851179593.53,851069248.0,110345.52999997139,0.012963836402885079
4541,847511390.52,847501248.0,10142.519999980927,0.00119674143774727
4586,850005291.23,850014272.0,-8980.769999980927,-0.0010565545994408228
4587,843966458.75,844136448.0,-169989.25,-0.020141706846000886
4611,854152829.0,854126272.0,26557.0,0.0031091625641621566
4624,846396057.18,846296192.0,99865.17999994755,0.011798871125732286
4645,848745582.29,848621760.0,123822.28999996185,0.014588858261374038
4674,850999438.63,850956864.0,42574.62999999523,0.005002897542275108
4678,848857987.25,848618560.0,239427.25,0.02820580751977839
4707,847770775.8,847944384.0,-173608.20000004768,-0.020478200588622802
4729,846034957.88,846048128.0,-13170.120000004768,-0.0015566874485903682
4762,846923979.54,846730560.0,193419.53999996185,0.022837886831946375
4772,848545368.87,848658240.0,-112871.12999999523,-0.013301720113127795
4826,847090364.45,846954944.0,135420.45000004768,0.015986541186544325
4840,846173957.5,846219840.0,-45882.5,-0.0054223483945971
