Best Epoch: 32, Val MSE: 5.0734993943080504e+16, Val RMSE: 225244298.3586499

SCENARIO,y,y_pred,Difference,Deviation
9,2286616132.97,2278398464.0,8217668.96999979,0.35938122063917083
43,1791029034.13,2022599808.0,-231570773.8699999,-12.92948184854448
79,1743449978.54,1733805312.0,9644666.539999962,0.553194336442999
84,2226056291.11,2325754880.0,-99698588.88999987,-4.4787092441533085
86,1688507049.7,1765110912.0,-76603862.29999995,-4.536780720791796
88,1565354160.16,1436734464.0,128619696.16000009,8.216651505040458
104,1981853780.04,1909490048.0,72363732.03999996,3.651315388087785
123,2166983469.79,2109776128.0,57207341.78999996,2.6399528463197672
181,2214247199.29,2301818624.0,-87571424.71000004,-3.954907326430395
240,2189867583.6,2129362560.0,60505023.599999905,2.7629535252781623
269,1774471224.85,1691203328.0,83267896.8499999,4.692547035077378
277,2096846037.39,2045840128.0,51005909.390000105,2.432506177396244
294,1302749891.62,1795857280.0,-493107388.3800001,-37.851270727553825
308,1771693150.03,1788728320.0,-17035169.97000003,-0.9615192094472778
356,1683733629.54,1734663936.0,-50930306.46000004,-3.024843453053457
365,1972566148.04,1936914048.0,35652100.03999996,1.8073969319317855
435,2064163799.9,2042786944.0,21376855.900000095,1.0356181956604273
436,1994087879.08,2065343616.0,-71255736.92000008,-3.5733498843027367
438,1348337890.31,1487853056.0,-139515165.69000006,-10.347196106602311
450,1691097782.02,1739989632.0,-48891849.98000002,-2.8911308677608916
491,1906337396.48,1887929344.0,18408052.48000002,0.9656240555313024
493,2325890832.02,2222846720.0,103044112.01999998,4.43030733005245
506,1609280738.97,1784886400.0,-175605661.02999997,-10.912058833339058
545,1702133085.96,1739248384.0,-37115298.03999996,-2.1805168083591417
584,1908751529.23,1817405696.0,91345833.23000002,4.785632484436012
587,1863440791.71,1854052736.0,9388055.710000038,0.5038022003041492
594,1394289911.51,1698385536.0,-304095624.49,-21.810071347404925
601,1595828592.46,1726889728.0,-131061135.53999996,-8.212732630511823
613,1489107440.8,1564988416.0,-75880975.20000005,-5.095735413103179
640,2239947108.39,2184751104.0,55196004.38999987,2.464165523518675
682,1496682373.58,1622638336.0,-125955962.42000008,-8.415677544108362
695,1661015040.78,1815293440.0,-154278399.22000003,-9.288200012177619
699,1247867695.11,1204124672.0,43743023.109999895,3.505421550811437
733,2037281710.07,2026074880.0,11206830.069999933,0.5500874039464514
760,2232764321.29,2211140864.0,21623457.28999996,0.9684612515443104
764,1948918091.77,2002923264.0,-54005172.23000002,-2.7710334496896545
794,1538519637.06,1572889216.0,-34369578.94000006,-2.2339382684564133
799,1916981763.84,1930149888.0,-13168124.160000086,-0.6869196362944201
854,1558197110.98,1559926016.0,-1728905.019999981,-0.11095547590334173
862,1540219337.66,1380873856.0,159345481.6600001,10.34563570030798
